     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   83.,    4.0,   0.69, -0.059,  0.019,  0.019, -0.069, -0.057,  0.036,  -0.16,  -0.17, 
   86.,    3.0,   0.60,  -0.13, -0.035,  -0.16,  -0.13, 0.0045,  -0.14,  -0.27,  -0.30, 
   86.,    3.0,   0.60,  -0.13, -0.035,  -0.16,  -0.13, 0.0045,  -0.14,  -0.27,  -0.30, 
   22.,    2.0,   0.40, -0.036, -0.016, -0.0050, -0.018, -0.010, -0.062, -0.062,  -0.10, 
   50.,    3.0,   0.32,  -0.11, -0.094,  -0.12, -0.076,  -0.14, -0.080,  0.019, -0.018, 
   39.,    4.0,   0.44,   0.23,   0.27,   0.29,   0.31,  0.047,  0.065,  0.096,  0.081, 
   4.0,    1.0,   0.97,  -0.45, -0.034,  -0.14, -0.034,  -0.40,  -0.17,  -0.70,  -0.73, 
   61.,    1.0,   0.27,  0.015,  0.074,  0.066, -0.016,  0.043,  -0.17, 0.0083, -0.035, 
   13.,    5.0,   0.23,   0.11,   0.10,   0.10,   0.11,   0.10,   0.22,  0.083,  0.053, 
   14.,    3.0,   0.43,  0.028,  0.083,   0.13,  0.024,   0.12,   0.12, -0.095,  -0.13, 
   93.,    2.0,   0.50, -0.048,  0.024, 0.0015, -0.048, -0.045,  0.024,  -0.16,  -0.20, 
   93.,    2.0,   0.50, -0.048,  0.024, 0.0015, -0.048, -0.045,  0.024,  -0.16,  -0.20, 
   38.,    3.0,   0.27,  -0.14,  -0.11, -0.096, -0.090, -0.077, -0.0090,  0.070,  0.034, 
   4.0,    4.0,   0.67, -0.036,   0.24,  0.045,  0.089,  -0.18,  0.016,  -0.13,  -0.14, 
   34.,    2.0,   0.42, -0.085, -0.095, -0.080, -0.097,  -0.11,  -0.11, -0.081,  -0.12, 
   97.,    3.0,   0.40, -0.041, -0.045, -0.025, -0.050, -0.049,  -0.11, -0.065,  -0.10, 
   8.0,    0.0,   0.23, -0.041, -0.058,  -0.11, -0.082, -0.077, -0.096, -0.0031, -0.045, 
   97.,    5.0,   0.35, -0.0079, 0.0035, 0.0035,  0.020, -0.042, -0.087, -0.032, -0.063, 
   91.,    2.0,   0.39, -0.019, 0.0020,  0.019,  0.018,  0.024, -0.067, -0.044, -0.083, 
   28.,    3.0,   0.16,   0.13,   0.16,  0.044,   0.15,   0.13,  0.057,   0.18,   0.14, 
   81.,    2.0,   0.30,   0.13,   0.22,   0.20,   0.19,   0.23,  0.084,  0.040, 0.0060, 
   70.,    1.0,   0.35,  -0.11, -0.022,  0.013,  0.022,  -0.14, -0.039, -0.082,  -0.12, 
   48.,    0.0,   0.14,   0.11,  0.040,  0.040,  0.042,   0.12,   0.22,  0.094,  0.051, 
   54.,    0.0,   0.18,  0.082, -0.0055,  -0.12,   0.10,  0.016,    0.0,  0.050, 0.0080, 
   5.0,    0.0,  0.074,   0.15,   0.10,  0.052,   0.16,   0.12,   0.19,   0.16,   0.12, 
   47.,    0.0,   0.21, -0.028, -0.035, -0.085, -0.041, -0.051,  -0.16,  0.021, -0.021, 
   37.,    2.0,   0.22,  0.023,  0.041,  0.074,   0.13, 0.0065,   0.16,   0.12,  0.089, 
   7.0,    0.0,   0.14,  0.011, -0.013, -0.013,  0.014, -0.044, -0.086,  0.094,  0.051, 
   4.0,    4.0,   0.67, -0.036,   0.24,  0.045,  0.089,  -0.18,  0.016,  -0.13,  -0.14, 
   5.0,    1.0,   0.16, -0.034,  0.043,  0.023,   0.13, -0.0070,  0.077,   0.11,  0.077, 
   76.,    1.0,   0.19,  -0.14, -0.029,  -0.19,  -0.19,  -0.19,  -0.19,  0.087,  0.052, 
   60.,    5.0,   0.34, -0.076, -0.057,  -0.11, -0.061, -0.0025, -0.092, -0.028, -0.059, 
   10.,    4.0,   0.71,  0.074,   0.19, 0.0010,   0.13,  -0.14, -0.028,  -0.17,  -0.19, 
   17.,    0.0,   0.30, -0.065, -0.0025,   0.12,   0.10,  0.051,   0.21, -0.071,  -0.11, 
   95.,    4.0,   0.29,   0.27,   0.26,   0.20,   0.26,   0.25,   0.30,   0.25,   0.23, 
   17.,    0.0,   0.30, -0.065, -0.0025,   0.12,   0.10,  0.051,   0.21, -0.071,  -0.11, 
   9.0,    5.0,   0.28, -0.070,  0.026,  0.032, -0.0085,  0.024, -0.081,  0.039, 0.0090, 
   8.0,    4.0,   0.48,  0.042,  0.073, -0.028,  0.091,  0.035,  0.060,  0.060,  0.046, 
   99.,    5.0,   0.29, -0.090, -0.041, -0.041, -0.024,  0.032,  0.035,  0.026, -0.0060, 
   14.,    1.0,   0.86,  -0.22,  -0.17,  -0.32,  -0.38,  -0.50,  -0.20,  -0.59,  -0.63, 
   12.,    3.0,   0.20,  0.044,  0.023,  0.070,  0.010,  0.033, -0.047,   0.14,   0.10, 
   55.,    0.0,    0.0,   0.25,   0.18,  0.074,    0.0,  0.032,    0.0,   0.23,   0.19, 
   14.,    3.0,   0.43,  0.028,  0.083,   0.13,  0.024,   0.12,   0.12, -0.095,  -0.13, 
   91.,    3.0,   0.36,  0.011, -0.0070, -0.019,  0.070, -0.032, -0.038, -0.027, -0.064, 
   64.,    5.0,   0.35, -0.061, -0.066, -0.066, -0.087, -0.096, -0.094, -0.030, -0.061, 
   21.,    4.0,   0.40,  0.057,  0.033, -0.024,  0.051,  0.050, -0.044,   0.14,   0.12, 
   13.,    1.0,   0.32,  0.021,  -0.15,  -0.15,  -0.15, -0.048,  0.043, -0.045, -0.088, 
