     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   47.,    3.0,  0.031,   0.13,  0.018, 0.0019,    0.0,    0.0,    0.0,  0.078,    0.0, 
   20.,    0.0,  0.083,   0.10,   0.42,   0.42,  0.015, -0.0060, -0.024,  0.054, -0.010, 
   59.,    0.0,   0.20, -0.028,  0.028,  0.028,  -0.12,  0.056,  -0.11, -0.068,  -0.13, 
   59.,    3.0,  0.016,  0.046, 5.0e-05, -0.016, -0.0078, -0.0078, -0.016,  0.094,  0.016, 
   79.,    0.0,  0.028,   0.11,   0.47,   0.47, 0.0038, -0.0016, -0.0060,   0.11,  0.045, 
   6.0,    3.0,  0.062,  0.024,  0.064, -0.016,  0.062, 0.0039,  0.062,  0.047, -0.031, 
   74.,    0.0,  0.022,  0.098,   0.48,   0.48,  0.017,  0.055,  0.017,   0.12,  0.051, 
   14.,    4.0,  0.019,  0.036,    0.0,    0.0,    0.0,  0.058,  0.019,  0.078,  0.039, 
   19.,    5.0, 0.0057,  0.064,   0.11,  0.017,  0.017,  0.024,  0.017,   0.11,  0.040, 
   56.,    1.0,   0.50,  -0.21,  -0.38,  -0.19,    0.0,   0.13,    0.0,  -0.41,  -0.44, 
   93.,    4.0,  0.019,  0.035,    0.0,    0.0,    0.0,  0.019,    0.0,  0.078,  0.039, 
   4.0,    0.0,   0.14,  0.025,   0.37,   0.37,   0.26,   0.15, -0.071, -0.00019, -0.064, 
   5.0,    3.0,   0.25, -0.094,  -0.20,  -0.20,  -0.11,  -0.21,    0.0,  -0.14,  -0.22, 
   47.,    2.0,   0.25,  -0.10, -0.094,  -0.16, -0.031,  -0.19,    0.0, -0.074,  -0.13, 
   15.,    2.0,  0.046,  0.059,  0.036, 0.0078, -0.035,  0.084, -0.035,   0.13,  0.078, 
   53.,    3.0,   0.25, -0.096, 0.0020, 0.0020,    0.0,  -0.17,    0.0,  -0.14,  -0.22, 
   78.,    0.0,   0.31,  -0.13,   0.19,   0.19,   0.46,  0.078,   0.22,  -0.18,  -0.24, 
   7.0,    1.0,  0.014,  0.019,  0.019,  0.031,  0.047,  0.047,  0.031,  0.081,  0.047, 
   15.,    1.0,  0.022, -0.0092, -0.0043, 0.0073, -0.018, -0.013, -0.018,  0.073,  0.039, 
   58.,    0.0,   0.19, -0.073,   0.31,   0.31,  -0.14,  -0.11,  -0.10, -0.055,  -0.12, 
   63.,    3.0,    0.0,   0.31,   0.19,   0.12,   0.25,   0.19,   0.25,   0.11,  0.031, 
   69.,    1.0,  0.010,  0.053,  0.055,  0.055, -0.0040, -1.7e-18, -0.0040,  0.085,  0.051, 
   76.,    5.0,  0.091,  0.043, -0.011,    0.0,    0.0, -0.011,    0.0,  0.020, -0.045, 
   2.0,    5.0,  0.023,  0.047,   0.14,  0.023,    0.0,  0.023,    0.0,  0.088,  0.023, 
   17.,    5.0,   0.14,   0.12,  0.023,  0.023,  0.045,  0.023,  0.045, -0.026, -0.091, 
   92.,    5.0,  0.011,  0.059, 0.0085, 0.0085,  0.023, -5.0e-05,  0.017,   0.10,  0.034, 
